MOF,Eform,Efermi,K,G
SERKEG,-0.941695,-1.1387908,36.5128422282371,20.7256791186266
SEYDUW,-1.35576,-1.0981443,24.2855977198207,23.0659858410733
SUHHOT,-1.4532986,-0.44672084,35.5281532706808,27.576135195057
SUJQOE,-0.36123848,-1.1584666,19.1274878245258,11.0260518302654
SUJREV,-0.35485172,-1.0730057,19.2433226522349,12.5377886430496
SUKYIH,-0.31853274,-2.3044941,36.676150416545,19.0213546362564
TADCAE,-0.72216994,-0.3747735,28.6439036144786,17.7928326611421
TARWEO,-0.045641642,-0.45567322,44.9531395877172,12.7246675418957
TASXIW,-0.6680108,-1.7863071,27.5864238748208,16.6039579597318
TECTUS,-1.0432867,-1.6510575,33.2897744758005,16.7285818097045
TEDGOA,0.30627903,-2.5560296,75.5678429478834,25.7879470035651
TENLIJ,-0.5056734,-1.6133311,22.4425187216287,13.3020669512596
TERFUT,-0.3553589,-0.9940996,26.0332588042243,15.333630166316
TESGOO,-1.3680487,-2.8957994,39.0564428173684,21.1480193496573
TESGUU,-1.3682213,-2.7814415,37.7859089753191,20.88876630689
TESHAB,-1.3681058,-2.8850005,38.2688848453846,21.3512852958746
TETZID,-0.37773368,-0.6248181,17.1395106353034,9.3094632447697
TEVZEA,-1.3658125,-2.867685,39.2910031926506,21.3040008224267
TEVZIE,-1.3686098,-2.8930538,38.8568548188462,21.1103152806694
TEVZOK,-1.3690443,-2.8831246,38.8352945550953,21.1522921949801
TEVZUQ,-1.3686893,-2.8899066,39.1784725044049,21.270613110458
TOHYUL,-0.7773337,-1.4015467,20.4349483658802,14.385793806706
UBACOR,-0.43894553,-1.1561277,20.5999204091784,14.139634699238
UBACUX,-0.44057924,-1.1422603,20.6369621298579,14.0872003673141
UBUMAH,-0.48341286,-2.8435743,37.0811088746005,18.0179540821834
UKUBIM,-0.28867304,-1.399965,17.7772889694162,9.41367701617132
ULOGIL,-0.84046644,-0.70476794,27.1605017112526,18.1645803307569
UMEXUF,-1.0512089,-1.1977131,47.461612294984,22.6464192056907
UNIGEE,-0.68918514,-3.2965577,40.9854897376993,14.0916633486907
UTEWOG,0.08962126,-1.4454687,55.0788113292501,22.4159468838543
UTEWUM,0.12487802,-0.73071504,52.8834196392105,18.9142008409383
UTEXAT,0.07829641,-1.4662573,51.3332397070409,19.4761975234228
UVARIT,-0.26896718,-0.710629,18.0280313711826,10.3478247930543
UVAROZ,-0.26797503,-0.77565694,18.5625610747421,10.0322605272447
UVASAM,-0.2681563,-0.6957176,18.2538537072415,10.3812672617811
UVEXAV,-1.2424737,-0.8642533,52.128972241536,28.6849356611618
UVUPOR,-0.26847932,-1.0745151,24.2733018009262,14.1994456570358
UWELIS,-0.5197672,-3.019388,40.8177575831162,15.0108261580493
UXEQOE,-0.777456,-1.5588362,31.5559756039233,15.9326636954739
UXUZAP,-0.37356624,-1.4441321,30.0104584383688,16.0358972401764
VACFOV01,-0.64370793,-2.7001054,37.160881066009,13.905983469624
VACFUB01,-0.48412573,-1.2142799,20.5315191007287,12.5494469510183
VAGTUU,-0.40789896,-1.416199,39.7204720770715,15.16606514614
VAHSIH,-3.062345,-2.238993,21.4078455471551,26.9942975005252
VAPFOJ,-0.49879336,0.3721056,19.659422532944,14.8446249010468
VAPFUP,-0.47739327,0.5064099,20.6055813038448,17.5878999096231
VARRIP,-1.3344849,-1.0687766,32.8282062482932,21.4877523703982
VASKOR,-1.0413818,-2.4201052,28.3391134637932,16.1176461394264
VAZTOG,-0.6910698,-3.3284752,41.0562462964938,14.3928322001346
VEJYUF01,-0.15579373,-1.4886515,46.6642888360918,9.8671128864863
VEJYUF02,-0.15216714,-1.4400237,47.806963754526,9.69940290396982
VISTUM,-0.051652063,-0.72181416,15.8298557485895,8.170322396887
